from,to
US,United States of America
United States,United States of America
USA,United States of America
UK,The United Kingdom
United Kingdom,The United Kingdom
The United Kingdom of Great Britain and Northern Ireland,The United Kingdom
DRC,Democratic Republic of the Congo
UAE,United Arab Emirates
North Korea,Democratic People's Republic of Korea
DPRK,Democratic People's Republic of Korea
South Korea,Republic of Korea
ROK,Republic of Korea
Laos,Lao People's Democratic Republic
Lao PDR,Lao People's Democratic Republic
Republic of Congo,Congo
Congo Brazzaville,Congo
Venezuela,Venezuela (Bolivarian Republic of)
Bolivia,Bolivia (Plurinational State of)
CAR,Central African Republic
Ivory Coast,Côte d’Ivoire
Vatican City,Holy See
Iran,Iran (Islamic Republic of)
Russia,Russian Federation
Palestine,occupied Palestinian territory
Vietnam,Viet Nam
Syria,Syrian Arab Republic
Moldova,Republic of Moldova
Kosovo,Kosovo†
PNG,Papua New Guinea
Swaziland,Eswatini
Turkey,Türkiye
US Virgin Islands,United States Virgin Islands
Timor Leste,Timor-Leste
Macedonia,North Macedonia
Bosnia & Herzegovina,Bosnia and Herzegovina
Tanzania,United Republic of Tanzania
Falkland Islands,Falkland Islands (Malvinas)
Falklands,Falkland Islands (Malvinas)
The Falklands,Falkland Islands (Malvinas)
